Survey_ID,Primary_Topic_p,Secondary_Topic_p,p_change,Primary_Topic_r,Secondary_Topic_r,r_effect,,,,,,,,,,,
2329,Need for change in system,,Yes because you found out how unfair its the justice sistem how unequal its the court sistems when your not white,System disparities in race ,,Alot of unfairnes in the courts againts not anglo people,,,,,,,,,,,
941,Expanded view,,Living with people from different backgrounds have opened my eyes to a few of the real problems,Does not affect opinion ,,I care about america not color (United We Stand),,,,,,,,,,,
4567,Experience in prison,,People on the outside don't see what really goes on in prison. It's way different when youre doing time in prison then when you just see or read about it.,treatment because of race,,Just by how we are treated,,,,,,,,,,,
7779,None,,[No],Does not affect opinion ,,"[Not at all] My race is not a scapegoat, I've broken laws and our government upholds them. Therefore It has nothing to do with politics. THIS IS THE UNITED STATES. A GREAT COUNTRY",,,,,,,,,,,
8062,Education,,"I was never really informed on this countries polotics nor felt like it affected me but now i stay more informed ,have an opinion, and feel i am affected alot",Describes own race,,I am not one race and favor niether side and they are 2 very diffrent races,,,,,,,,,,,
3069,Pays more attention,,"I really never paid much attention to politics and I am ex military so pretty much I always thought that the democrats were always antimilitary and only the republicans ever did anything good for our troops. Now that I actually pay attention to politics I see both sides have good views and bad views, well they use to until lately when the democrats started to try and change the US into a socialist government.",Expectations because of race,,"I'm am Mexican American and it seems like everyone expects you to automaticlly side with democrats. I am not a sheep who just follows I can think for myself, and I actually am neither democrat or republican, but I am a capatilist, and believe in helping America first. I don't see race when it comes to politics, I look at the issues. I'm not going to vote just because the person running is a minority, they have to actually have good ideas that I feel will benifit me and my family and other people in this country that are trying to live the American dream.",,,,,,,,,,,
8053,More interested,,I have grown more interested in how our goverment works and wish to learn more,Na,,No comment,,,,,,,,,,,
2103,Experience in prison,,Yes because its given.me the ability to see how things opperate from the inside.and.how the tax payers are lied to to gain votes that wouldnt be the same if the people werent being manipulated with propaganda that is being fed to them and therefore causing them to make decisions and allow things that otherwise they wouldnt.,Does not affect opinion ,,My racial.identity has nothing to.do.with the fact that i want equality and an uncorrupted government to care about the well being of its people without greed and the hunger for power and also the destruction of other countries and peoples solely for monetary gain.,,,,,,,,,,,
4430,Experience in prison,,Yes it has because im seeing things first hand,Racial differences in prison ,,In prison everything is racial,,,,,,,,,,,
5665,Need for change in system,,Yes to manny child molesters in thegoverment,,,There is to much politicsin here,,,,,,,,,,,
6397,Education,,Well it give me time to see the news and see it more better by talking to diferent people,Not sure,,Not sure,,,,,,,,,,,
5561,N/A,,On,Na,,On,,,,,,,,,,,
7933,View on politics,,Yes,Na,,,,,,,,,,,,,
4361,Cares more,Views on politicians,"Because growing up only that, That concerned our community did we care about not who the President is or who going to be next to try and seperate our families",Experience because of race,,Because being hispanic were already the talking group of prison let alone if one has case or in here for murder so we unfortunatly have no way of getting help to get out of prison for the crimes that we are wrongfully convicted so yeah i would say we look into politics alot in and out of prison politics,,,,,,,,,,,
3686,Time,Education ,"While incarcerated, a person has time to gather knowledge if he or she chooses, pertaining to politics. We learn a lot, see a lot, thus our views change because we have time.",Racial differences in prison ,,"Being incarcerated, there comes a negative connotation regarding minorities; therefore,  any politics are viewed in the same light.",,,,,,,,,,,
7601,Education,,[Yes] Because when I was in the streets I never really watched news. But now being incarcerated I'm informed with all the terrible things happening in our country and how corrupt those politicians are.,Political opinions impacted because of race,,[Somewhat] My heritage is Puerto Rico and the US stop helping PR because they don't want be a state of the US. They used our island for military use.,,,,,,,,,,,
5031,More aware,,Before i was incarcerated i was apathetic towards the needs of others and my own needs. That has fortunately changed and ive become aware of the history of the issues facing the american people today,Experience because of race,,I am african american and mexican american and the reality is that minorities have been and continue to be on the losing side of the conservative agenda,,,,,,,,,,,
5937,None,,No,Does not affect opinion ,,Not at all,,,,,,,,,,,
2559,Need for change in system,,Justice is unfair,Does not know,,Dont know,,,,,,,,,,,
3059,Education,,I was never into politics on the streets but while in prison i have been trying to better myself as much as i can and being informed with politics just came natrual with trying to better myself and be smarter .,,,Not to shur if it would have any impact being puerto rican but i stay informed as much as possible our future is at hand an i shouldnt matter whether im in prison or not.,,,,,,,,,,,
8080,Time,Pays more attention ,My political veiws have changed because Iv had more time to pay attention whats going on around me,Does not affect opinion ,,My race has nothing to do with my mind set on political veiws,,,,,,,,,,,
6438,None,,No,Na,,All set,,,,,,,,,,,
5424,More aware,,Iam more aware of politics now.,Impacts perspective on political opinions,,Border crisis for instance. I am Mexican so it saddens and angers me to see the struggle.,,,,,,,,,,,
2087,Less interested,,I feel that if people like myself n,Treatment because of race,,For the simple fact that minorities and lower class citizens usually get shafted when it comes to sentencing and rarely get the opurtunities that the more fortunate get.,,,,,,,,,,,
629,N/A,,Nehru's,Na,,,,,,,,,,,,,
2126,Need for change in system,,Peace,All people should be equal ,,Peace is the answer stop racism people are suppose to.be equal,,,,,,,,,,,
6417,View on politics,,I hate politics,Does not affect opinion ,,"It just does , its all about raise in here",,,,,,,,,,,
572,More interested,,Before I came to prison I never was into political decided,Na,,,,,,,,,,,,,
2235,View on political parties,,Republicans have the most money and stability. I realize i lack these important things supporting democrat,Racial differences in prison ,,There is a inmate ran government in prison. Even the correctional officers follow the inmate ran government. So one has no idependent thought. Only the collective thought which is regressive oppressive,,,,,,,,,,,
3986,Pays more attention,,I've gotten more interested becouse in here i pay attention to the world news. I'm more aware of what's going on out there.,Impacts perspective on political opinions,,"Well as a mexican american, immigration issues hit close to home. ",,,,,,,,,,,
2290,Need for change in system,,There should be more programs for inmates that are released with no probation no parole. To make it as a productive member in sociaty.,Treatment because of race,,Hispanic's are always being sterotyped wrongly.,,,,,,,,,,,
